== ALL OBJECTS ==
American Flag | effortless | this donut shop is america-certified. LAND OF THE FREEE BABY!!!!!!!! (Hidden in City)
Evry Charecter Fused | strenuous | sometimes, i wonder, what is the point of making this game? after all, it's not like in the future this game will be relevant, and besides, there's going to be an end to this game sometime. so what's the point? i could go on and on about why i think it's pointless to work on this game, but it isn't worth it. i guess, i think it's my passion project, i wanna do good, y'know? spooky and funky don't necessarily update this game often, and i feel like... without me, the game wouldn't be where it is today, not to brag though. i mean, we're almost to 1000 objects, and it MIGHT be 1000 objects depending on when you're reading this.
Fedora | strenuous | ycjvv??? hkpf c vgzv kp urcyp, crrna ucog ekrjgt
Glitchy | strenuous | YOU SHOULDN'T BE HERE
Hornbox | strenuous | the hero that we didn't deserve but needed (Start in Tennis Ball's room)
King Skull | strenuous | find 14 pieces of code around the entire map, in red text
Poison Cake | strenuous | aka "Poise" (Located in Candyland)
Transmitter | strenuous | beep beep beep bep bep bep bop bep bep bep beep beep (Start near Roboty)
ARG Television | remorseless | start in firey speakerbox's area
Chartreuse | remorseless | start in the throne room and find a way upwards
Front Facing Marker | remorseless | the method to get this is a complete secret. all i'll tell you is that you should try searching for something...
Remote Event | remorseless | they look like they would get along so well! (Start in the Fourest)
SilvaGunner | remorseless | GRAND DAD?!? (Start in Goiky)
Storm Ball | remorseless | The eye of the storm. (Hidden in Factory, find four buttons.)
Starwalker | horrifying | i am the original               starwalker
Wand | horrifying | the only way to get wand is by asking a certain object... perhaps a skull?
EVERYTHING | IMPOSSIBLE | woah it's the everything chomik ripoff who could forget
Hypostasis | IMPOSSIBLE | Hypostasis is the only being capable of nullifying the mere crystallization of the universe. Start in Frozen World, a badge description may help you.
Great Rhombicosidodecahedron |  | Is this the real life?
Bronze Medal | medal | ^^
Diamond Medal | medal | ^^
Gold Medal | medal | ^^
Silver Medal | medal | ^^
Void Medal | medal | ^^

== MIDNIGHT ROOFTOPS OBJECTS ==
Cupcake | hard | i was just coming to pick up a human
Cursor | hard | clickity click
Pancakes | hard | on a balcony of a hotel
Robot Tennis Ball | hard | look inside of grillby's
Sans | hard | SANDS UNDER TALE ?!?!?!?!?!
Thready | hard | i don't know what to put so here's random keyboard mashing pisadhspoadliyqp9ijcxzknawletyhiado
Tomato | hard | i like tomato uhhhh yeah
Dango | extreme | they're on a crane
Glitter Bottle | extreme | i hate glitter it gets all over me
Hot Sauce | extreme | get to a staircase
Ice Cream Cone | extreme | nothing better than a tasty cone of ice cream
Line Coin | extreme | get to the top of a roof
Little Baby Pizza | extreme | baby
Magnet | extreme | unlike magnet i am unattra
PB&J Sandwich | extreme | https://www.youtube.com/watch?v=I92TZOD560E
Spray Can | extreme | spray can is so silly
Vomit | extreme | gross
Bread Coiny | insane | the real bread coiny!!!
Burger Blanket | insane | find an almost invisible pathway
Goldy | insane | jump onto a window
Impostory | insane | flam when he realizes i FINALLY ADDED IMPOSTORY!!!!!!!!
Inverted Cursor | insane | do the same thing as cursor, but inverted
Milky | insane | look in lower parts of the map
Not Canon | insane | use the cannon! or, well... not cannon
Rainbow Cloudy | insane | cloudy tasted the rainbow
SimOndoMino | insane | the originally name got filtered but this is good right?????? roblox please dont ki
Starie | insane | look on the highest building
W | insane | this is such a W moment
cool ice cube | terrifying | SNAP OUT OF IT ICE CUBE!!! you're stuck having reused lines
Cremini | terrifying | mushed room
Electronic Game | terrifying | get to the furthest point away from the map
Every Character Fused | terrifying | occasionally, I find myself in a contemplative state, ruminating upon the underlying purpose and significance of undertaking the development of this particular game. it raises a fundamental question: what is the rationale for investing time and energy into the creation of this gaming endeavor? after all, it appears improbable that this game will retain any substantial relevance in the forthcoming years. furthermore, one must not disregard the inescapable reality that every game, no matter how compelling or captivating, eventually reaches its culmination, and thus, there looms an impending terminus for this game. in light of these contemplations, I am led to ponder, what exactly is the intrinsic value in expending my efforts on this venture? the temptation to embark on a protracted discourse regarding the futility of laboring on this game is palpable, yet I am inclined to demur, for such a discourse, it appears, would be an exercise in futility itself. It is my supposition that this project occupies a unique place in my heart, an endeavor in which I aspire to manifest my creative fervor and enthusiasm, driven by an innate desire to make a positive impact and bring forth something meaningful. it is true that the developers known as "Spooky" and "Funky" do not exhibit a frequent propensity for updating this game, which leads me to ponder the extent of my own contributions. without undue hubris, I dare say that the current state of the game, teetering on the brink of reaching a landmark of a thousand objects, can, to a certain extent, be attributed to my dedication and involvement. it should be noted, though, that the precise number of objects may indeed have already achieved the coveted one thousand, or it may remain tantalizingly close, contingent upon the point in time at which you peruse this composition.
Radio | terrifying | Look under a roof. [Made by @Clownfish4172]
Your Mom | terrifying | yo mama so skibidi among us rizz in ohio
Bandy | strenuous | get the key to the crane
blocky on toilet | strenuous | 
Rock | strenuous | rock. this is a rock
Singapore Map | strenuous | oh boy would you look at that it's another button hunt!!! how fun and exciting!!!!!
Aurora Borealis | remorseless | find four pieces of code in this realm, timber tops, classic paradise, and yoyleland. they're all at the highest points of the realms.
BFB 1-29 Thumbnail Fusion | remorseless | AAAA
Corrupted Firey | remorseless | start by finding a glitchy particle, good luck.
USB Drive | remorseless | the highest point of the map. it won't be easy getting up there!

== SAKURA SERENITY OBJECTS ==
Bonsai | hard | this does not resemble a bonsai in the slightest
Bugspray | hard | there are bugs all over them
Grapefruit | hard | what a peculiar fruit this is
k | hard | this is truly a k moment
Planter | hard | check inside of one of the houses
Robot Saw | hard | wouldn't a robot saw just be a chainsaw?
Autumn Leaf | extreme | one of these trees is off...
Bamboo | extreme | look in a bush
Bean Can | extreme | BEANS!!!!!!!
Butters | extreme | delicious (Made by Just_Summa)
Horn | extreme | they're standing on a paifang
Locket | extreme | climb onto a spike
Snickerdoodle | extreme | wait... this is a REAL thing???
Taiyaki | extreme | on a tree
Chocolate Circle | insane | find a way onto one of the bigger structures
Davidy | insane | first roboty-y, now this???
Humorous Hummus | insane | quite humorous indeed
Plant | insane | why are there two plants in the same realm??
Red Leaf | insane | don't worry it isn't evil leafy.. i think
Spikey | insane | look for a hole.. (Made by Fireballz_37)
Non-Slip Shoes so Ha | terrifying | true fashion
oMg | terrifying | yep, that sure is a thing
Red crayon who is also blue but probably isn't green | terrifying | you heard the name (find five pieces of codes around the map)
Wildy | terrifying | ooooooooooooo swwwwirllllyyyy
? | strenuous | ?
Moon | remorseless | find a way to make it become midnight..

== TIMBER PEAKS OBJECTS ==
Peanut Butter Jar | difficult | hey that's weird, do i taste peanut butter?
S'mores | difficult | i guess you could say you guys want S'MORE objects!!!!... this is why i don't make puns
Vasey | difficult | yeah, that sure is a vase
Wasabi Chips | difficult | wasabi does not approve of these chips
Biscuit | extreme | oh, biscuits...
Cough Drop | extreme | cough... cough...
Dough | extreme | dough... dough...
Algodoo Marble | unforgiving | it's behind a crate
Chips | unforgiving | you may find yourself somewhere unexpected...
Frog | unforgiving | i had every excuse in the world to make this about frog jumping but i didn't, are you guys happy?
Yoyle Spoon | unforgiving | no, please erase this from my memory
Mous.V | insane | it's in plain sight, but there's no way to reach it...
Square Root | insane | beneath a platform
Stump | insane | get to the top of the mountain
Thermometer | insane | man, it's hot up here! wait, that doesn't even make any sense...
Vinyl Record | insane | the viewing of this record is prohibited
Candle | dreadful | look for a faint light
Cheeseburger | dreadful | i wonder how you could get into that barn at spawn?
Spammy | dreadful | they're IN YOUR WALLS.
Network Cable Tester | terrifying | NCCNNCNNNCCNCCCCNCCCNCCCNCCNCCCN
Dot | arduous | .
Nutty | arduous | NUTTY!!!!!!!!!!! nutty nutty nutty nutty nutty nutty nutty nutty nutty
PUMPKIN 2.0 | arduous | Find a mechanical pumpkin somewhere.
Virus | arduous | start in the basement, you'll be able to find something important there.

== YOYLEFACTORY OBJECTS ==
Coolboy | extreme | only 0.01% of people can find him
Elephant | extreme | someone has GOT to address this
FRIENDY+ | extreme | wow he's such a good friend i dont know im really trying with these descriptions okay
Mattress | extreme | they're sleeping somewhere...
Phantastrophy | extreme | the fog is coming the fog is coming the fog is coming the fog is coming the fog is coming the fog is coming the fog is coming the fog is coming
Ace of Clubs | unforgiving | do you think this card likes to groove? (Made by AccountDoesNothing)
Base Charger | unforgiving | you need to charge your mental capacity
Coffee Mug | unforgiving | tea is better
Delicious Fruit | unforgiving | mmm..... delicious.... (Made by AccountDoesNothing)
Diamond | unforgiving | must suck having no limbs... and not being a circle
Four's Uncle Craig | unforgiving | hey craig
Paint Bucket | unforgiving | he's been up to some mischief
Seedling | unforgiving | there's a seed growing in a box
Teabag | unforgiving | bell 2
Text Message | unforgiving | did you get your bogos binted? wait what
Watermelon | unforgiving | look below
Block of Glass | insane | SHATTER SOUND
Electrostatic | insane | find a way to destroy something suspicious. (Made by Cadalac8999)
Glowstick | insane | find a strange light source
Hanheld | insane | abandonment.
Juice Box | insane | take a sip
Maroon Ball | insane | wrong colored ball try again
MousePad | insane | hint: it's NOT at a computer
owoball | insane | i regret nothing
Piano | insane | who is out here playing the piano
Popsicle | insane | a snowball in july?!
Pugsley | insane | dont be fooled, they have 72 charges of murder in the 1st degree
Rubber Ball | insane | find a small button on top of a cog (Made by 0OFunkyPurple)
Stickynotes | insane | one of the last few living things in the abandoned half of the facility..
Trashbag | insane | find a pack of trashbags laying around which are... weirdly small. (Made by NTailsGoBrrrrr)
Aura Sphere | dreadful | it looks like it could be an interdimensional portal that teleported an airline on two pieces of camera footage from 2014
Candy Wrapper | dreadful | i love making normal looking objects absurd difficulties (Made by lowk3y_TJ)
DUMMY3 | dreadful | look for z-fighting
Graphics Card | dreadful | to the 2% of people who actually play ftbc on a computer, this is a certified hood classic
Leafmote | dreadful | who recommended this and why did you recommend it
Lithium | dreadful | find lithium bars
MissingYes | dreadful | what did you do to the yes
Mouse Guy | dreadful | this description is pretty... CHEESY!!!!!! LOL!!!!! hlep me pl
Raisin | dreadful | this is grape's dying grandfather
Spatula | dreadful | find a burger, then find a grill (Made by NTailsGoBrrrr)
Stylus | dreadful | i think we have too many variations of a pen
White Board | dreadful | there is a secretive room in the factory...
Wizard Hat | dreadful | you're a wizard now
-8 Ball | terrifying | start where electrostatic is (Made by NTailsGoBrrrrr)
Among Us Four | terrifying | stuck in the vents for the rest of eternity
Button | terrifying | use shiftlock near a large cog (Made by lowk3y_TJ)
Gaming Controller | terrifying | click the power button of a computer that is acting strange...
Missing Texture Block | terrifying | it can't be an ftbc realm without an object that requires clipping out of bounds
RAM Chip | terrifying | look underneath a platform
Ampersand | arduous | don't ask how the algebraliens are able to teleport to different realms, it just happens (Made by lowk3y_TJ)
Font | arduous | font
Gaming Device | arduous | find 10 buttons around the factory, then return to a doorway
Blue Screen of Death | strenuous | YOUR PC RAN INTO AN ERROR AND NEEDS TO RESTART. RESTART. RESTART. RESTART. RESTART. RESTART. (Made by NTailsGoBrrrrr)
Ground | strenuous | this is the face of someone who has seen it all
Money Bag | strenuous | start by finding a broom. sweep up some unneeded stuff. (Made by This_manisnothim)

== YOYLELAND OBJECTS ==
Boombox | effortless | buy our new leafy detector
Eyes in the Dark | effortless | ooo spoopy eyes
Hand-Powered Recovery Center | effortless | this isn't really an animate object but okay
Ice Cream | effortless | lick lick
Ice Cube Jr. | effortless | making the water cooler
Knife | effortless | hiding in a bush... i think?
Long Pencil | effortless | why did i add this? because i can
Orange | effortless | hmm i dont know about you guys but i dont think he appreciates classification gasconading
Grape | easy | In the top left corner of the map.
Lewis | easy | i ain't giving up.. I AIN'T GIVING UP!!!! there's cake at stake lewis!!!
Lollipop Plush | easy | hidden in the allyways of yoylecity
Pandora Book | easy | Hiding behind a building somewhere...
Swappy | easy | i have no idea what to put here (pun intended)
Unpainted Gaty | easy | this is gaty, but unpainted... yeah idk what to say
A Tree | moderate | yeah, just a tree and nothing else
Carrot Cake | moderate | CARROT CAKE!!!
Choo Choo The Train | moderate | CHOO CHOO!
Dreartop | moderate | SHEEESH! HE GOT DAT DRIP THOUGH
Metal Ball | moderate | get to the top of the summit
Runner Up | moderate | on the "second" light on the tower
Aloe Vera | normal | how can it grow here? just like pin said too little sun
Blue Gelatin | normal | how creative...
Brownie | normal | how does a brownie even stick to the wall like that?
Stop Light | normal | find a stop light
Fish Cracker | intermediate | who's ready to go swimming?
Lasery | intermediate | oh maybe they shouldn't have done that
Paragraph | intermediate | removed the old description because it sucked badly
Sketchpad | intermediate | hanging off a platform as if he's some kind of god
Yoylelite | intermediate | for one of the rarest minerals in the entire universe, they don't seem like that
Beehive | hard | look inside a tree
Dragon Scale | hard | hidden in one of the hundreds of yoylebushes...
Pi | hard | well, what does pi equal?
Pill | hard | robot firey obby
Shower | hard | 
Stabby | hard | stuck on the tower..
Yoyle Soda | hard | yoyle (Hidden on the windows)
Bicycle Wheel | difficult | it's near lasery, that's all i'll tell ya.
Daffodil | difficult | look for grass
Kennel | difficult | find a way into one of the yoyle city buildings...
Piano Key | difficult | inside of fancy shop
Evil Price Tag | extreme | get on top of a roof
Ink Ball | extreme | at an area of the map where probably no one will check
Poison Marker | extreme | this isn't find the markers i swear
Robot Firey | extreme | complete an obby... or just frog jump depends if you suck at parkour
Swordy | extreme | same deal as stabby
Bolf Gall | unforgiving | this one's for vextono
Match Box | unforgiving | it's exactly where you think it is
Paint Drop | unforgiving | somewhere of its color...
Robot Leafy | unforgiving | look underneath robot firey
Squeaky Hammer | unforgiving | there has to be a way on top of the matchstick factory...
Wasabi | unforgiving | find an invisible path near lasery
Frog Four | insane | get it? because you have to "frog" jump onto a building for it? nobody clapping?
Sky | insane | THE SKY IS LITERALLY FALLING
IV Bag | dreadful | factory
Lipstick | dreadful | find a way upstairs in the stupid pets building. that's the real name lol
Mangosteen | dreadful | hidden in a blade of grass, oh no not again...
Vacuum | dreadful | cleaning on the side of a tower yeah thats completely natural
A BFDI | arduous | don't you wanna battle to win a prize?
Spongezilla | arduous | there has to be a way up that tower...
Fax Machine | strenuous | start in a bfdi's area
A BFDIA | remorseless | real
